FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
118,0,OAH22,1,10/04/2018,PLIC, ,45,OAH22_01_10/04/2018_PLIC_0045,0.014240111287700,0.669785632377000,"12,14,15",83, ,2,0.669935112853000,0.014240385046700
119,0,OAH22,1,10/04/2018,PLIC, ,47,OAH22_01_10/04/2018_PLIC_0047,0.017953613054300,0.782194415961000,2,94, ,2,0.782491387102000,0.017954089941400
120,0,OAH22,1,10/04/2018,PMEA, ,49,OAH22_01_10/04/2018_PMEA_0049,0.038051905394300,1.100693498800000,4,78, ,2,1.101043879600000,0.038054334980100
121,0,OAH22,1,10/04/2018,MFLA, ,50,OAH22_01_10/04/2018_MFLA_0050,0.000753883352210,0.149028814481000,-99,85,Recruitment,2,0.148929425056000,0.000752980030295
122,0,OAH22,1,10/04/2018,PMEA, ,51,OAH22_01_10/04/2018_PMEA_0051,0.023398822629300,0.788222530786000,5,79, ,2,0.788501793344000,0.023396434946200
123,0,OAH22,1,10/04/2018,MFLA, ,52,OAH22_01_10/04/2018_MFLA_0052,0.003170346630220,0.319253374567000,-99,87,Recruitment,2,0.319322284189000,0.003169924998660
124,0,OAH22,1,10/04/2018,MFLA, ,53,OAH22_01_10/04/2018_MFLA_0053,0.001794856304660,0.230387132461000,6,84, ,2,0.230452289146000,0.001795460001410
125,0,OAH22,1,10/04/2018,MOSP, ,56,OAH22_01_10/04/2018_MOSP_0056,0.031495240340200,1.077555000810000,"8,9,22",90, ,2,1.077252952530000,0.031496895074100
126,0,OAH22,1,10/04/2018,MFLA, ,57,OAH22_01_10/04/2018_MFLA_0057,0.000336781833850,0.074585621994300,6,89, ,2,0.074509108878200,0.000336619999916
127,0,OAH22,1,10/04/2018,PLUT, ,58,OAH22_01_10/04/2018_PLUT_0058,0.005115377506520,0.320151209574000,-99,97,Recruitment,2,0.319987686239000,0.005112460003440
128,0,OAH22,1,10/04/2018,PLUT, ,59,OAH22_01_10/04/2018_PLUT_0059,0.006092781447510,0.291310372895000,18,110, ,2,0.291323100177000,0.006091274949460
129,0,OAH22,1,10/04/2018,PLUT, ,60,OAH22_01_10/04/2018_PLUT_0060,0.001611786437300,0.158771173178000,-99,92,Recruitment,2,0.158637011685000,0.001608620021980
130,0,OAH22,1,10/04/2018,PLUT, ,61,OAH22_01_10/04/2018_PLUT_0061,0.018839643431200,0.573410467162000,20,111, ,2,0.573504446987000,0.018835329912200
131,0,OAH22,1,10/04/2018,PLUT, ,62,OAH22_01_10/04/2018_PLUT_0062,0.244214348887000,4.665567355900000,"19,16",112, ,2,4.665286301900000,0.244211794957000
132,0,OAH22,6,10/04/2018,PMEA, ,63,OAH22_06_10/04/2018_PMEA_0063,0.026559496305200,0.653452760256000,30,101, ,2,0.653535058931000,0.026567265016700
133,0,OAH22,2,10/04/2018,PMEA, ,64,OAH22_02_10/04/2018_PMEA_0064,0.013499147505300,0.487082382539000,29,100, ,2,0.487152258984000,0.013500285006900
